DMU,INPUT1,INPUT2,INPUT3,OUTPUT1,OUTPUT2
Metropolitana de Belo Horizonte,1467426,216,17580038,306783,131144
Triângulo Mineiro/Alto Paranaíba,1729568,232,20856729,328471,116257
Sul/Sudoeste de Minas,998393,175,10728571,325349,106733
Zona da Mata,847610,218,9184505,282330,99969
Vale do Rio Doce,523297,147,5352706,173575,58438
Oeste de Minas,1062492,190,11895582,294716,83990
Norte de Minas,203948,52,1988413,93313,24889
Noroeste de Minas,324828,44,3600596,61371,22273
Campo das Vertentes,115487,25,1147032,42279,14750
Central Mineira,407795,43,4527937,157558,52755
Jequitinhonha,51384,24,532426,16153,6395
Vale do Mucuri,127461,38,1410552,41593,12647
