DMU,INPUT1,INPUT2,OUTPUT1,OUTPUT2
Metropolitana de Belo Horizonte,14758141,2804510,17580038,0.09
Triângulo Mineiro/Alto Paranaíba,17794657,3062070,20856729,0.1
Sul/Sudoeste de Minas,8997842,1730731,10728571,0.13
Zona da Mata,7977064,1207440,9184505,0.09
Vale do Rio Doce,4546113,806596,5352706,0.09
Oeste de Minas,10394024,1501560,11895582,0.08
Norte de Minas,1678686,309727,1988413,0.1
Noroeste de Minas,3065489,535106,3600596,0.09
Campo das Vertentes,977356,169675,1147032,0.14
Central Mineira,3874444,653491,4527937,0.11
Jequitinhonha,434771,97655,532426,0.13
Vale do Mucuri,1135004,275548,1410552,0.12
